target,name,station_code,station_name,line,line_info
11,서울역,150,서울,1,line1_comment.gif
12,시청역,151,시청,1,line1_comment.gif
13,종각역,152,종각,1,line1_comment.gif
14,종로3가역,153,종로3가,1,line1_comment.gif
15,종로5가역,154,종로5가,1,line1_comment.gif
16,동대문역,155,동대문,1,line1_comment.gif
17,신설동역,156,신설동,1,line1_comment.gif
18,제기동역,157,제기동,1,line1_comment.gif
19,청량리역,158,청량리,1,line1_comment.gif
20,동묘앞역,159,동묘앞,1,line1_comment.gif
21,시청역,201,시청,2,line2_comment.gif
22,을지로입구역,202,을지로입구,2,line2_comment.gif
23,을지로3가역,203,을지로3가,2,line2_comment.gif
24,을지로4가역,204,을지로4가,2,line2_comment.gif
25,동대문역사문화공원역,205,동대문역사문화공원,2,line2_comment.gif
26,신당역,206,신당,2,line2_comment.gif
27,상왕십리역,207,상왕십리,2,line2_comment.gif
28,왕십리역,208,왕십리,2,line2_comment.gif
29,한양대역,209,한양대,2,line2_comment.gif
210,뚝섬역,210,뚝섬,2,line2_comment.gif
211,성수역,211,성수,2,line2_comment.gif
212,건대입구역,212,건대입구,2,line2_comment.gif
213,구의역,213,구의,2,line2_comment.gif
214,강변역,214,강변,2,line2_comment.gif
215,잠실나루역,215,잠실나루,2,line2_comment.gif
216,잠실역,216,잠실,2,line2_comment.gif
217,신천역,217,신천,2,line2_comment.gif
218,종합운동장역,218,종합운동장,2,line2_comment.gif
219,삼성역,219,삼성,2,line2_comment.gif
220,선릉역,220,선릉,2,line2_comment.gif
221,역삼역,221,역삼,2,line2_comment.gif
222,강남역,222,강남,2,line2_comment.gif
223,교대역,223,교대,2,line2_comment.gif
224,서초역,224,서초,2,line2_comment.gif
225,방배역,225,방배,2,line2_comment.gif
226,사당역,226,사당,2,line2_comment.gif
227,낙성대역,227,낙성대,2,line2_comment.gif
228,서울대입구역,228,서울대입구,2,line2_comment.gif
229,봉천역,229,봉천,2,line2_comment.gif
230,신림역,230,신림,2,line2_comment.gif
231,신대방역,231,신대방,2,line2_comment.gif
232,구로디지털단지역,232,구로디지털단지,2,line2_comment.gif
233,대림역,233,대림,2,line2_comment.gif
234,신도림역,234,신도림,2,line2_comment.gif
235,문래역,235,문래,2,line2_comment.gif
236,영등포구청역,236,영등포구청,2,line2_comment.gif
237,당산역,237,당산,2,line2_comment.gif
238,합정역,238,합정,2,line2_comment.gif
239,홍대입구역,239,홍대입구,2,line2_comment.gif
240,신촌역,240,신촌,2,line2_comment.gif
241,이대역,241,이대,2,line2_comment.gif
242,아현역,242,아현,2,line2_comment.gif
243,충정로역,243,충정로,2,line2_comment.gif
244,용답역,244,용답,2,line2_comment.gif
245,신답역,245,신답,2,line2_comment.gif
246,신설동역,246,신설동,2,line2_comment.gif
247,도림천역,247,도림천,2,line2_comment.gif
248,양천구청역,248,양천구청,2,line2_comment.gif
249,신정네거리역,249,신정네거리,2,line2_comment.gif
250,용두역,250,용두,2,line2_comment.gif
21,까치산역,260,까치산,2,line2_comment.gif
301,지축,309,지축,3,line3_comment.gif
302,구파발,310,구파발,3,line3_comment.gif
303,연신내,311,연신내,3,line3_comment.gif
304,불광,312,불광,3,line3_comment.gif
305,녹번,313,녹번,3,line3_comment.gif
306,홍제,314,홍제,3,line3_comment.gif
307,무악재,315,무악재,3,line3_comment.gif
308,독립문,316,독립문,3,line3_comment.gif
309,경봉궁,317,경복궁,3,line3_comment.gif
310,안국,318,안국,3,line3_comment.gif
311,종로3가,319,종로3가,3,line3_comment.gif
312,을지로3가,320,을지로3가,3,line3_comment.gif
313,충무로,321,충무로,3,line3_comment.gif
314,동대입구,322,동대입구,3,line3_comment.gif
315,약수,323,약수,3,line3_comment.gif
316,금호,324,금호,3,line3_comment.gif
317,옥수,325,옥수,3,line3_comment.gif
318,압구정,326,압구정,3,line3_comment.gif
319,신사,327,신사,3,line3_comment.gif
320,잠원,328,잠원,3,line3_comment.gif
321,고속터미널,329,고속터미널,3,line3_comment.gif
322,교대,330,교대,3,line3_comment.gif
323,남부터미널,331,남부터미널,3,line3_comment.gif
324,양재,332,양재,3,line3_comment.gif
325,매봉,333,매봉,3,line3_comment.gif
326,도곡,334,도곡,3,line3_comment.gif
327,대치,335,대치,3,line3_comment.gif
328,학여울,336,학여울,3,line3_comment.gif
329,대청,337,대청,3,line3_comment.gif
330,일원,338,일원,3,line3_comment.gif
331,수서,339,수서,3,line3_comment.gif
332,가락시장,340,가락시장,3,line3_comment.gif
333,경찰병원,341,경찰병원,3,line3_comment.gif
334,오금,342,오금,3,line3_comment.gif
41,당고개역,409,당고개,4,line4_comment.gif
42,상계역,410,상계,4,line4_comment.gif
43,노원역,411,노원,4,line4_comment.gif
44,창동역,412,창동,4,line4_comment.gif
45,쌍문역,413,쌍문,4,line4_comment.gif
46,수유역,414,수유,4,line4_comment.gif
47,미아역,415,미아,4,line4_comment.gif
48,미아삼거리역,416,미아사거리,4,line4_comment.gif
49,길음역,417,길음,4,line4_comment.gif
410,성신여대역,418,성신여대입구,4,line4_comment.gif
411,한성대입구역,419,한성대입구,4,line4_comment.gif
412,혜화역,420,혜화,4,line4_comment.gif
413,동대문역,421,동대문,4,line4_comment.gif
414,동대문역사문화공원역,422,동대문역사문화공원,4,line4_comment.gif
415,충무로역,423,충무로,4,line4_comment.gif
416,명동역,424,명동,4,line4_comment.gif
417,회현역,425,회현,4,line4_comment.gif
418,서울역,426,서울,4,line4_comment.gif
419,숙대입구역,427,숙대입구,4,line4_comment.gif
420,삼각지역,428,삼각지,4,line4_comment.gif
421,신용산역,429,신용산,4,line4_comment.gif
422,이촌역,430,이촌,4,line4_comment.gif
423,동작역,431,동작,4,line4_comment.gif
424,이수역,432,총신대입구,4,line4_comment.gif
425,사당역,433,사당,4,line4_comment.gif
426,남태령역,434,남태령,4,line4_comment.gif
